station_id,pol_var_id,cluster
1,B48001,4
1,B48002,3
1,B48003,0
1,B48005,9
1,B48006,9
1,B48007,5
1,B48008,3
1,B48011,1
1,B48012,6
1,B48013,8
1,B48015,4
1,B48016,6
1,B48017,4
1,B48018,1
1,B48019,7
1,B48021,3
1,B48023,2
1,B48024,4
1,B48025,7
1,B48026,6
1,B48029,3
1,B48030,0
1,B48031,0
1,B48032,6
1,B48033,0
1,B48034,3
1,B48036,8
1,B48037,8
1,B48038,8
1,B48039,2
1,B48041,2
1,B48044,8
1,B48045,8
2,B48001,4
2,B48002,3
2,B48003,0
2,B48005,9
2,B48006,9
2,B48007,5
2,B48008,3
2,B48011,1
2,B48012,6
2,B48013,8
2,B48015,6
2,B48016,6
2,B48017,4
2,B48018,1
2,B48019,7
2,B48021,3
2,B48023,9
2,B48024,4
2,B48025,7
2,B48026,6
2,B48029,3
2,B48030,0
2,B48031,0
2,B48032,6
2,B48033,0
2,B48034,3
2,B48036,8
2,B48037,8
2,B48038,8
2,B48039,2
2,B48041,2
2,B48044,8
2,B48045,8
4,B48001,4
4,B48002,3
4,B48003,0
4,B48005,9
4,B48006,9
4,B48007,5
4,B48008,3
4,B48011,1
4,B48012,6
4,B48013,8
4,B48015,6
4,B48016,6
4,B48017,4
4,B48018,1
4,B48019,7
4,B48021,3
4,B48023,2
4,B48024,4
4,B48025,7
4,B48026,6
4,B48029,3
4,B48030,0
4,B48031,0
4,B48032,6
4,B48033,0
4,B48034,3
4,B48036,8
4,B48037,8
4,B48038,8
4,B48039,2
4,B48041,2
4,B48044,8
4,B48045,8
5,B48001,4
5,B48002,3
5,B48003,0
5,B48005,9
5,B48006,9
5,B48007,5
5,B48008,3
5,B48011,1
5,B48012,6
5,B48013,8
5,B48015,4
5,B48016,6
5,B48017,4
5,B48018,1
5,B48019,7
5,B48021,3
5,B48023,2
5,B48024,4
5,B48025,7
5,B48026,6
5,B48029,3
5,B48030,0
5,B48031,0
5,B48032,6
5,B48033,0
5,B48034,3
5,B48036,8
5,B48037,8
5,B48038,8
5,B48039,2
5,B48041,2
5,B48044,8
5,B48045,8
6,B48001,4
6,B48002,3
6,B48003,0
6,B48005,9
6,B48006,9
6,B48007,5
6,B48008,3
6,B48011,1
6,B48012,6
6,B48013,8
6,B48015,4
6,B48016,6
6,B48017,4
6,B48018,1
6,B48019,7
6,B48021,3
6,B48023,2
6,B48024,4
6,B48025,7
6,B48026,6
6,B48029,3
6,B48030,0
6,B48031,0
6,B48032,6
6,B48033,0
6,B48034,3
6,B48036,8
6,B48037,8
6,B48038,8
6,B48039,2
6,B48041,2
6,B48044,8
6,B48045,8
7,B48001,4
7,B48002,3
7,B48003,0
7,B48005,9
7,B48006,9
7,B48007,5
7,B48008,3
7,B48011,1
7,B48012,6
7,B48013,8
7,B48015,4
7,B48016,6
7,B48017,4
7,B48018,1
7,B48019,7
7,B48021,3
7,B48023,2
7,B48024,4
7,B48025,7
7,B48026,6
7,B48029,3
7,B48030,0
7,B48031,0
7,B48032,6
7,B48033,0
7,B48034,3
7,B48036,8
7,B48037,8
7,B48038,6
7,B48039,2
7,B48041,2
7,B48044,8
7,B48045,8
8,B48001,4
8,B48002,3
8,B48003,0
8,B48005,9
8,B48006,9
8,B48007,5
8,B48008,3
8,B48011,1
8,B48012,6
8,B48013,8
8,B48015,6
8,B48016,6
8,B48017,4
8,B48018,1
8,B48019,7
8,B48021,3
8,B48023,2
8,B48024,4
8,B48025,7
8,B48026,6
8,B48029,3
8,B48030,0
8,B48031,0
8,B48032,6
8,B48033,0
8,B48034,3
8,B48036,8
8,B48037,8
8,B48038,6
8,B48039,2
8,B48041,2
8,B48044,8
8,B48045,8
9,B48001,4
9,B48002,3
9,B48003,0
9,B48005,9
9,B48006,9
9,B48007,5
9,B48008,3
9,B48011,1
9,B48012,6
9,B48013,8
9,B48015,4
9,B48016,6
9,B48017,4
9,B48018,1
9,B48019,7
9,B48021,3
9,B48023,2
9,B48024,4
9,B48025,7
9,B48026,6
9,B48029,3
9,B48030,0
9,B48031,0
9,B48032,6
9,B48033,0
9,B48034,3
9,B48036,8
9,B48037,8
9,B48038,6
9,B48039,2
9,B48041,2
9,B48044,8
9,B48045,8
10,B48001,4
10,B48002,3
10,B48003,0
10,B48005,9
10,B48006,9
10,B48007,7
10,B48008,3
10,B48011,1
10,B48012,6
10,B48013,8
10,B48015,6
10,B48016,6
10,B48017,4
10,B48018,1
10,B48019,7
10,B48021,3
10,B48023,9
10,B48024,4
10,B48025,7
10,B48026,6
10,B48029,3
10,B48030,0
10,B48031,0
10,B48032,6
10,B48033,0
10,B48034,3
10,B48036,8
10,B48037,8
10,B48038,8
10,B48039,9
10,B48041,2
10,B48044,6
10,B48045,8
11,B48001,4
11,B48002,3
11,B48003,0
11,B48005,9
11,B48006,9
11,B48007,5
11,B48008,3
11,B48011,1
11,B48012,6
11,B48013,8
11,B48015,4
11,B48016,6
11,B48017,4
11,B48018,1
11,B48019,7
11,B48021,3
11,B48023,2
11,B48024,4
11,B48025,7
11,B48026,6
11,B48029,3
11,B48030,0
11,B48031,0
11,B48032,6
11,B48033,0
11,B48034,3
11,B48036,8
11,B48037,8
11,B48038,6
11,B48039,2
11,B48041,2
11,B48044,8
11,B48045,8
13,B48001,4
13,B48002,3
13,B48003,0
13,B48005,9
13,B48006,9
13,B48007,5
13,B48008,3
13,B48011,1
13,B48012,6
13,B48013,8
13,B48015,4
13,B48016,6
13,B48017,4
13,B48018,1
13,B48019,7
13,B48021,3
13,B48023,2
13,B48024,4
13,B48025,7
13,B48026,6
13,B48029,3
13,B48030,0
13,B48031,0
13,B48032,6
13,B48033,0
13,B48034,3
13,B48036,8
13,B48037,8
13,B48038,8
13,B48039,2
13,B48041,2
13,B48044,8
13,B48045,8
